,4221.00976,N,07106.47705,W,012550.00,A,A*74 2570 g
,4221.00995,N,07106.47820,W,012551.00,A,A*70 2570 h
,4221.00995,N,07106.47940,W,012552.00,A,A*74 2570 h
,4221.00998,N,07106.48020,W,012553.00,A,A*78 2570 h
,4221.00992,N,07106.48139,W,012554.00,A,A*7C 2570 i
,4221.00985,N,07106.48272,W,012555.00,A,A*77 2570 i
,4221.00973,N,07106.48398,W,012556.00,A,A*78 2570 i
,4221.00970,N,07106.48509,W,012557.00,A,A*74 2570 j
,4221.00956,N,07106.48614,W,012558.00,A,A*70 2570 j
,4221.00941,N,07106.48733,W,012559.00,A,A*73 2570 j
,4221.00921,N,07106.48841,W,012600.00,A,A*70 2570 k
,4221.00942,N,07106.48905,W,012601.00,A,A*75 2570 k
,4221.00940,N,07106.49006,W,012602.00,A,A*7F 2570 k
,4221.00940,N,07106.49096,W,012603.00,A,A*77 2570 l
,4221.00930,N,07106.49197,W,012604.00,A,A*77 2570 l
,4221.00953,N,07106.49294,W,012605.00,A,A*73 2570 l
,4221.00961,N,07106.49366,W,012606.00,A,A*7D 2570 m
,4221.00966,N,07106.49451,W,012607.00,A,A*78 2570 m
,4221.00974,N,07106.49527,W,012608.00,A,A*74 2570 m
,4221.00994,N,07106.49589,W,012609.00,A,A*7F 2570 n
,4221.01013,N,07106.49664,W,012610.00,A,A*70 2570 n
,4221.01030,N,07106.49745,W,012611.00,A,A*72 2570 n
,4221.01046,N,07106.49821,W,012612.00,A,A*7D 2570 o
,4221.01058,N,07106.49889,W,012613.00,A,A*71 2570 o
,4221.01070,N,07106.49975,W,012614.00,A,A*7E 2570 o
,4221.01095,N,07106.50048,W,012615.00,A,A*7B 2570 p
,4221.01126,N,07106.50110,W,012616.00,A,A*7D 2570 p
,4221.01140,N,07106.50168,W,012617.00,A,A*73 2570 p
,4221.01174,N,07106.50210,W,012618.00,A,A*77 2570 q
,4221.01204,N,07106.50257,W,012619.00,A,A*71 2570 q
,4221.01235,N,07106.50315,W,012620.00,A,A*7E 2570 q
,4221.01246,N,07106.50359,W,012621.00,A,A*73 2570 r
,4221.01262,N,07106.50406,W,012622.00,A,A*7B 2570 r
,4221.01279,N,07106.50461,W,012623.00,A,A*71 2570 r
,4221.01293,N,07106.50497,W,012624.00,A,A*7B 2570 s
,4221.01339,N,07106.50571,W,012625.00,A,A*72 2570 s
,4221.01373,N,07106.50647,W,012626.00,A,A*79 2570 s
,4221.01412,N,07106.50736,W,012627.00,A,A*7F 2570 t
,4221.01450,N,07106.50816,W,012628.00,A,A*7B 2570 t
,4221.01476,N,07106.50907,W,012629.00,A,A*7F 2570 t
,4221.01490,N,07106.50974,W,012630.00,A,A*7B 2570 u
,4221.01529,N,07106.51055,W,012631.00,A,A*72 2570 u
,4221.01552,N,07106.51138,W,012632.00,A,A*77 2570 u
,4221.01585,N,07106.51200,W,012633.00,A,A*74 2570 v
,4221.01630,N,07106.51213,W,012634.00,A,A*7C 2570 v
,4221.01671,N,07106.51246,W,012635.00,A,A*78 2570 v
,4221.01712,N,07106.51295,W,012636.00,A,A*71 2570 w
,4221.01739,N,07106.51371,W,012637.00,A,A*72 2570 w
,4221.01755,N,07106.51475,W,012638.00,A,A*74 2570 w
,4221.01776,N,07106.51570,W,012639.00,A,A*70 2570 x
,4221.01794,N,07106.51659,W,012640.00,A,A*7A 2570 x
,4221.01806,N,07106.51737,W,012641.00,A,A*76 2570 x
,4221.01821,N,07106.51816,W,012642.00,A,A*7C 2570 y
,4221.01821,N,07106.51890,W,012643.00,A,A*73 2570 y
,4221.01826,N,07106.51959,W,012644.00,A,A*77 2570 y
,4221.01840,N,07106.52021,W,012645.00,A,A*73 2570 z
,4221.01828,N,07106.52083,W,012646.00,A,A*76 2570 z
,4221.01844,N,07106.52137,W,012647.00,A,A*73 2570 z
,4221.01864,N,07106.52230,W,012648.00,A,A*7A 2570 {
,4221.01905,N,07106.52270,W,012649.00,A,A*79 2570 {
,4221.01943,N,07106.52305,W,012650.00,A,A*70 2570 {
,4221.01933,N,07106.52374,W,012651.00,A,A*70 2570 |
,4221.01972,N,07106.52470,W,012652.00,A,A*75 2570 |
,4221.01994,N,07106.52543,W,012653.00,A,A*7D 2570 |
,4221.01994,N,07106.52603,W,012654.00,A,A*7D 2570 }
,4221.01988,N,07106.52671,W,012655.00,A,A*74 2570 }
,4221.01994,N,07106.52729,W,012656.00,A,A*76 2570 }
,4221.01991,N,07106.52792,W,012657.00,A,A*72 2570 A
,4221.01999,N,07106.52875,W,012658.00,A,A*73 2570 A
,4221.02011,N,07106.52967,W,012659.00,A,A*7A 2570 A
,4221.02094,N,07106.53624,W,012706.00,A,A*75 2570 D
,4221.02082,N,07106.53705,W,012707.00,A,A*71 2570 D
,4221.02090,N,07106.53776,W,012708.00,A,A*79 2570 D
,4221.02099,N,07106.53858,W,012709.00,A,A*72 2570 E
,4221.02111,N,07106.53951,W,012710.00,A,A*73 2570 E
,4221.02138,N,07106.54031,W,012711.00,A,A*71 2570 E
,4221.02128,N,07106.54104,W,012712.00,A,A*74 2570 F
,4221.02114,N,07106.54206,W,012713.00,A,A*7B 2570 F
,4221.02130,N,07106.54243,W,012714.00,A,A*7B 2570 F
,4221.02147,N,07106.54313,W,012715.00,A,A*7E 2570 G
,4221.02138,N,07106.54387,W,012716.00,A,A*78 2570 G
,4221.02164,N,07106.54414,W,012717.00,A,A*7D 2570 G
,4221.02210,N,07106.54451,W,012718.00,A,A*73 2827 H
,4221.02200,N,07106.54496,W,012719.00,A,A*78 2570 H
,4221.02241,N,07106.54554,W,012720.00,A,A*78 2570 H
,4221.02273,N,07106.54567,W,012721.00,A,A*78 2570 I
,4221.02298,N,07106.54582,W,012722.00,A,A*75 2570 I
,4221.02324,N,07106.54663,W,012723.00,A,A*7E 2827 I
,4221.02332,N,07106.54752,W,012724.00,A,A*7D 2570 J
,4221.02344,N,07106.54828,W,012725.00,A,A*7F 2570 J
,4221.02333,N,07106.54895,W,012726.00,A,A*7A 2570 J
,4221.02347,N,07106.54966,W,012727.00,A,A*75 2570 K
,4221.02353,N,07106.55056,W,012728.00,A,A*74 2570 K
,4221.02353,N,07106.55103,W,012729.00,A,A*74 2827 K
,4221.02376,N,07106.55201,W,012730.00,A,A*7A 2570 L
,4221.02397,N,07106.55254,W,012731.00,A,A*74 2827 L
,4221.02419,N,07106.55314,W,012732.00,A,A*73 2827 L
,4221.02436,N,07106.55393,W,012733.00,A,A*70 2827 M
,4221.02448,N,07106.55449,W,012734.00,A,A*7E 2827 M
,4221.02468,N,07106.55514,W,012735.00,A,A*74 2827 M
,4221.02492,N,07106.55597,W,012736.00,A,A*79 2570 N
,4221.02510,N,07106.55694,W,012737.00,A,A*73 2827 N
,4221.02560,N,07106.55801,W,012738.00,A,A*79 2570 N
,4221.02565,N,07106.55923,W,012739.00,A,A*7C 2827 O
,4221.02591,N,07106.56028,W,012740.00,A,A*78 2827 O
,4221.02623,N,07106.56124,W,012741.00,A,A*7E 2827 O
,4221.02642,N,07106.56255,W,012742.00,A,A*7F 2827 P
,4221.02640,N,07106.56359,W,012743.00,A,A*71 2827 P
,4221.02661,N,07106.56300,W,012744.00,A,A*79 2570 P
,4221.02668,N,07106.56370,W,012745.00,A,A*76 2827 Q
,4221.02697,N,07106.56449,W,012746.00,A,A*78 2827 Q
,4221.02726,N,07106.56521,W,012747.00,A,A*7D 2827 Q
,4221.02740,N,07106.56601,W,012748.00,A,A*73 3084 R
,4221.02735,N,07106.56766,W,012749.00,A,A*70 3084 R
,4221.02729,N,07106.56856,W,012750.00,A,A*79 2827 R
,4221.02739,N,07106.56915,W,012751.00,A,A*7F 2827 S
,4221.02725,N,07106.56925,W,012752.00,A,A*72 2570 S
,4221.02732,N,07106.56896,W,012753.00,A,A*7C 3084 S
,4221.02761,N,07106.56888,W,012754.00,A,A*72 257 T
,4221.02719,N,07106.56818,W,012755.00,A,A*75 514 T
,4221.02702,N,07106.56793,W,012756.00,A,A*70 514 T
,4221.02699,N,07106.56720,W,012757.00,A,A*7A 257 U
,4221.02723,N,07106.56671,W,012758.00,A,A*70 257 U
,4221.02822,N,07106.56688,W,012759.00,A,A*79 257 U
,4221.02848,N,07106.56656,W,012800.00,A,A*75 257 V
,4221.02925,N,07106.56655,W,012801.00,A,A*7D 257 V
,4221.03035,N,07106.56643,W,012802.00,A,A*70 257 V
,4221.03197,N,07106.56667,W,012803.00,A,A*7E 257 W
,4221.03379,N,07106.56694,W,012804.00,A,A*77 257 W
,4221.03459,N,07106.56651,W,012805.00,A,A*7A 257 W
,4221.03520,N,07106.56618,W,012806.00,A,A*7B 257 X
,4221.03579,N,07106.56599,W,012807.00,A,A*7C 514 X
,4221.03648,N,07106.56619,W,012808.00,A,A*79 514 X
,4221.03790,N,07106.56658,W,012809.00,A,A*79 514 Y
,4221.03891,N,07106.56649,W,012810.00,A,A*7F 257 Y
,4221.03928,N,07106.56628,W,012811.00,A,A*7A 257 Y
,4221.03948,N,07106.56590,W,012812.00,A,A*7F 257 Z
,4221.03949,N,07106.56543,W,012813.00,A,A*71 514 Z
,4221.04008,N,07106.56543,W,012814.00,A,A*7D 257 Z
,4221.04098,N,07106.56543,W,012815.00,A,A*75 257 [
,4221.04062,N,07106.56449,W,012816.00,A,A*78 257 [
,4221.04145,N,07106.56459,W,012817.00,A,A*7C 257 [
,4221.04206,N,07106.56443,W,012818.00,A,A*7C 514 \
,4221.04235,N,07106.56426,W,012819.00,A,A*7E 514 \
,4221.04300,N,07106.56415,W,012820.00,A,A*73 514 \
,4221.04362,N,07106.56399,W,012821.00,A,A*75 514 ]
,4221.04448,N,07106.56410,W,012822.00,A,A*7F 257 ]
,4221.04484,N,07106.56396,W,012823.00,A,A*77 257 ]
,4221.04470,N,07106.56338,W,012824.00,A,A*7F 257 ^
,4221.04508,N,07106.56291,W,012825.00,A,A*72 514 ^
,4221.04624,N,07106.56300,W,012826.00,A,A*75 514 ^
,4221.04610,N,07106.56183,W,012827.00,A,A*7A 514 _
,4221.04553,N,07106.56092,W,012828.00,A,A*70 514 _
,4221.04551,N,07106.56024,W,012829.00,A,A*7E 514 _
,4221.04637,N,07106.56016,W,012830.00,A,A*74 514 `
,4221.04747,N,07106.56042,W,012831.00,A,A*72 514 `
,4221.04893,N,07106.55996,W,012832.00,A,A*74 514 `
,4221.04984,N,07106.55983,W,012833.00,A,A*76 514 a
,4221.05079,N,07106.55970,W,012834.00,A,A*77 514 a
,4221.05141,N,07106.55948,W,012835.00,A,A*77 514 a
,4221.05205,N,07106.55920,W,012836.00,A,A*79 514 b
,4221.05261,N,07106.55881,W,012837.00,A,A*70 514 b
,4221.05325,N,07106.55880,W,012838.00,A,A*7F 257 b
,4221.05407,N,07106.55863,W,012839.00,A,A*74 257 c
,4221.05526,N,07106.55864,W,012840.00,A,A*7F 514 c
,4221.05564,N,07106.55825,W,012841.00,A,A*7D 257 c
,4221.05665,N,07106.55856,W,012842.00,A,A*78 257 d
,4221.05750,N,07106.55864,W,012843.00,A,A*7F 514 d
,4221.05808,N,07106.55844,W,012844.00,A,A*78 257 d
,4221.05861,N,07106.55820,W,012845.00,A,A*74 514 e
,4221.05880,N,07106.55762,W,012846.00,A,A*71 514 e
,4221.05895,N,07106.55721,W,012847.00,A,A*73 257 e
,4221.05902,N,07106.55657,W,012848.00,A,A*73 257 f
,4221.05902,N,07106.55592,W,012849.00,A,A*78 257 f
,4221.05952,N,07106.55561,W,012850.00,A,A*79 514 f
,4221.05875,N,07106.55448,W,012851.00,A,A*76 257 g
,4221.05793,N,07106.55357,W,012852.00,A,A*7B 257 g
,4221.05723,N,07106.55289,W,012853.00,A,A*73 257 g
,4221.05718,N,07106.55255,W,012854.00,A,A*7D 514 h
,4221.05646,N,07106.55186,W,012855.00,A,A*7B 257 h
,4221.05556,N,07106.55085,W,012856.00,A,A*78 514 h
,4221.05508,N,07106.55026,W,012857.00,A,A*7B 1028 i
,4221.05461,N,07106.54939,W,012858.00,A,A*7C 1285 i
,4221.05602,N,07106.55009,W,012859.00,A,A*71 1285 i
,4221.05871,N,07106.55113,W,012900.00,A,A*7C 1542 j
,4221.06064,N,07106.55252,W,012901.00,A,A*74 1542 j
,4221.06235,N,07106.55487,W,012902.00,A,A*7F 1542 j
,4221.06451,N,07106.55644,W,012903.00,A,A*77 1799 k
,4221.06460,N,07106.55695,W,012904.00,A,A*7E 1799 k
,4221.06491,N,07106.55716,W,012905.00,A,A*7B 1799 k
,4221.06406,N,07106.55656,W,012906.00,A,A*73 1799 l
,4221.06424,N,07106.55703,W,012907.00,A,A*73 1799 l
,4221.06517,N,07106.55770,W,012908.00,A,A*79 1542 l
,4221.06657,N,07106.55805,W,012909.00,A,A*72 1285 m
